"japanese_translation","phrase","category","part_of_speech","explanation"
"それが幸せな人生の秘訣だ。","That’s the key to a happy life.","キメの一言","動名詞","「カギ」、「秘訣」という意味で「the key」といいます。「～の秘訣」は「the key to ~」といいます。
たとえば
That’s the key to success.
（それが成功の秘訣）
更に、「That’s the key to a happy life.」などの「That（主語）」を他の名詞や動名詞に置き換えて応用できます。
たとえば、
Having good friends is the key to a happy life.
（いい友達を持つことが…）
Doing what you love is the key to a happy life.
（好きなことを仕事にするのが…）
Not being jealous is the key to a happy life.
（嫉妬しないことが…）
名詞に動名詞を置き換えて言えることを増やすコツは、ぜひこちらの動画を観てみてください^^"
"暴風が吹いている。","It’s blowing a gale.","天気","今のこと・一時的なこと","「a gale」は「強風」、「暴風」という意味です。そして、「blow a gale（暴風が吹く）」というフレーズで使うので、１つの塊として憶えておきましょう。
少し大げさに、暴風ほどでもない場合もよく使います。
天気の主語は「It」になりますね。
たとえば
It’s cold.
（寒い）
It’s sunny.
（晴れている）
It’s raining.
（雨が降っている）
It snowed.
（雪が降った）
It’s getting warmer.
（暖かくなってきた）"
"（美しすぎて）食べるのが勿体無い。","It seems a shame to eat it.","レストラン・食べ物","to 不定詞","たとえば日本の会席料理など、見た目が美しすぎて「食べるのが勿体無い」という感想は英語では
「It seems a shame to eat it.」といいます。
食べる前に人が作った料理を褒める一言なので、憶えておきましょう。
１つ注意するところは「a shame（残念）」の「a」をとると「shame（恥）」になるので、「a」は付けましょう。
とりあえず今回のフレーズを１行の決まり文句として憶えて、機会があったらぜひ使ってみましょう。"
"それは問題にはならないはず。","That shouldn’t be a problem.","仕事","","「should」は大体「～した方がいい」という意味で使いますが、「はず」という意味で使うことも多いです。否定文の「shouldn’t」も同じで「～しない方がいい」だけでなく、「～しないはず」という意味でも使います。たとえば、
He shouldn’t mind.
（彼なら気にしないはず）
We shouldn’t be too late.
（そこまでは遅刻しないはず）"
"うちのマンションはペット可です。","My building is pet-friendly.","家の中","形容詞","「ペット可」は「pet-friendly（ペットは歓迎される）」という形容詞を使います。
たとえば、
That café is pet-friendly.
（そのカフェは犬などを連れて行っても大丈夫）
My building isn’t pet-friendly.
（うちのマンションはペットを飼っちゃダメ）
「~ friendly」という形容詞は他にもあります。
たとえば、
eco-friendly
（エコな）
wheelchair-friendly
（バリアフリー）
tourist-friendly
（観光客も歓迎される）
たとえば、
That’s very eco-friendly.
（エコだね）
The station is wheelchair-friendly.
（その駅はバリアフリー）
The restaurant is not tourist-friendly.
（その店では観光客は歓迎されない）"
"マイカーを買った。","I bought a car.","家の中 / 買い物","過去のこと","日本語では「マイカー」といいますが、英語では「I bought my car.」は間違いです。
元々は自分のものじゃないものは「my / your」などが付けられないのです。
「I bought my car.」だと「自分の車を自分から買った」と変な意味になります。脱税方法でしょうか？
売るときは、元々は自分のものなので、「I sold my car.」ですが、買うまでは自分のものではないので「a car」になります。
他にも
I got a boyfriend.
（彼ができた）
I dumped my boyfriend.
（彼氏を振った）
I got a job.
（就職が決まった）
I quit my job.
（会社を辞めた）
など、英語全体的に関係する感覚です。"
"白髪が見つかった。","I found a gray hair.","ファッション・身だしなみ","過去のこと","「白髪」は「white hair」ではなくて、英語では「gray hair（灰色の毛）」といいます。他にも
I’m going gray.
（全体的に白髪になってきた）
The stress is giving me gray hairs.
（ストレスから白髪が増えてきた）
He went gray at 40.
（40歳で白髪になった）"
"適当に話しているわけじゃない。","I know what I’m talking about.","キメの一言 / 仕事","WH名詞節","文型は「I know +WH名詞節」で、直訳は「自分が何について話しているか分かっている」ですが、「ちゃんと分かって言っている」、「適当に話しているわけじゃない」、「信じて」という意味で使うフレーズです。
逆に「You don’t know what you’re talking about.」は「分かったような口をきいているけど、何も分かってないよ」という意味のフレーズです。
他にも
I know what I’m doing.
（ちゃんと分かってやっているから）
もあります。"
"お願いを聞いて。","Do me a solid.","キメの一言","","よく知られている「Do me a favor.」の口語体的な言い方です。どちらを使っても大丈夫で、使い方も同じです。
「Can you ~?」につづけて「Can you do me a solid (favor)?（お願いを聞いてくれる？）」で言ったり、又は「Do me a solid (favor) and ~」と動詞をつづけたりもします。
たとえば、
Do me a solid (favor) and take out the trash.
（ゴミを出しておいてくれたら嬉しいな）
Can you do me a solid (favor) and go get some milk?
（牛乳を買ってきてくれる？）"
"味はどう？","How does it taste?","レストラン・食べ物 / 五感","","「taste（味がする）」は動詞です。たとえば「おいしい」は「It is good taste.」は間違いで、「It tastes good.」と「taste」を動詞として使うのが正解です。
そして、「今のこと」でも進行形にせずに、現在形を使う“例外”の動詞です。否定文も疑問文の場合も現在形の「does it」を使います。
たとえば
It tastes strange.
（変な味がする）
It doesn’t taste so bad.
（そんなにまずくない）
Does it taste OK?
（味は大丈夫？）
How does it taste?
（味はどう？）
「look, sound, smell, taste, feel」（五感の動詞）の使い方は、ぜひこちらの動画をご覧ください^^"
"それは時代遅れ。","That’s so dated.","","形容詞","「dated（形容詞）」は「時代遅れ」、「古い」という意味です。「old-fashioned」なら必ずしも悪いニュアンスではないのですが、「dated」なら必ず悪いニュアンスで使います。
たとえば
His way of thinking is so dated.
（彼の考え方は時代遅れ）
That software is so dated.
（そのソフトはもう古い）"
"冬はもういいよ。","I’m so over winter.","キメの一言 / 天気","","「I’m over ~」は「～から立ち直った」という意味ですが、「～には飽きた」、「～はもうウンザリだ」という意味でも使います。
たとえば
I’m over my cold.
（風邪から立ち直った＝風邪が治った）
I’m over him.
（彼のことはもう忘れた）
I’m over facebook.
（facebookはもう飽きた）
I’m over that game.
（そのゲームはもう飽きた）
「Love is over.」は「恋が終わった」ですが、「I’m over love.」なら「恋はもう卒業した」というような意味になります。"
"彼がドタキャンしちゃった。","He canceled at the last minute.","遊び","過去のこと","「He canceled.」は「キャンセルした」という意味ですが、今回のポイントは「(at) the last minute」という言い方です。
直訳は「最後の1分で」ですが、「最後の最後に」という意味です。
他にも
I found out at the last minute.
（ギリギリまで分からなかった）
Don’t leave it till the last minute.
（最後の最後まで後まわしにしないでね）"
"忙しくてできなかった。","I didn’t get a chance to do it.","仕事","to 不定詞","「I didn’t get a chance to ~」は「～する機会がなかった」、「～するタイミングがなかった」というフレーズで「忙しくてできなかった」という意味の英語です。動詞の原型がつづきます。
たとえば
I didn’t get a chance to look at it.
（忙しくて見れなかった）
逆に「Did you get a chance to ~?」というフレーズは「お忙しい中で～はできましたか？」という意味で「～はしてくれましたか？」をより丁寧に聞くフレーズです。
たとえば
Did you read my email?
（私のメールを読みましたか？）
よりも
Did you get a chance to read my email?
と聞いた方が、プレッシャーを与えてないというか、遠慮がちというか、もし読んでなければ「忙しいからね」と言い訳を作ってあげている感じで、より丁寧な言い方です。"
"アカデミー賞受賞作品だ。","It’s an Academy Award-winning show.","遊び","形容詞","ここでは「Academy Award-winning」は形容詞として使われています。英語では、自分で自由に形容詞が作れます。動詞のingで終われせて、複数の単語をハイフンで繋いで、それを１つの形容詞として使います。
たとえば
loud-speaking
（大声で話す）
など。
本来の順番は「He speaks loud.」ですが、動詞のingで終わらせるので「loud-speaking」になります。
たとえば
He looks good.
（かっこいい）
も「good-looking」になるのも同じことです。
「心を温める」を「heart-warming」と言うのも同じです。
文なら
It won an Academy Award.
（アカデミー賞を受賞した）
ですが、
「Academy Award-winning」という順番の形容詞として使います。
他にも
He’s an Oscar-winning director.
（オスカー賞を受賞したことがある監督だ）
もあります。"
"それ、キツいね。","That’s harsh.","被害・トラブル","形容詞","「harsh（ハーシ）」は「ひどい」、「厳しい」、「キツい」という意味の形容詞です。厳しい状況に対しても使いますが、キツい発言に対して使うのが1番多いです。
キツい発言に対して「That’s harsh.」又は「Harsh!」と一言だけで言うことが多いです。
その場の発言に対しても、「こんなことを言われたよ」という友達の体験談に対するコメントとしてもよく使います。形容詞なのでbe動詞と一緒に使います。
たとえば、
Don’t be harsh.
（キツいことを言うなよ）
He didn’t have to be so harsh.
（そこまで言わなくてもよかったのにね）"
"深読みしないで。","Don’t read too much into it.","キメの一言 / 被害・トラブル","WH名詞節","「深読みする」は「read too much into it」といいます。「into」なので、元々入ってない意味を自分で「入れ込む」感じです。「it」の代わりに動詞のingやWH名詞節を置き換えることもできます。
たとえば
You’re reading too much into it.
（深読みしすぎだよ）
You’re reading too much into what he said.
（彼の言ったことを深読みしすぎ）
You’re reading too much into him not calling.
（彼から電話がこないことを深読みしすぎ）"
"行間を読みなさい。","Read between the lines.","キメの一言 / 諺・おもしろ表現","","英語から訳されて日本語になったかどうか分からないが、日本語と同じ表現ですね。他の使い方は、
たとえば
If you read between the lines, it says…
（行間を読むと・・・と言っている）
Reading between the lines, it sounds like he doesn’t like the idea.
（行間を読むと、その案を気に入ってないようだ）"
"お言葉ですが・・・","With all due respect…","キメの一言 / 仕事","","たとえば、目上の人に反論や指摘する際に、「With all due respect…」から言いはじめるといいですね。直訳すると「あなたに値する敬意をつけて言いますが」というような和訳になりますが、日本語の「お言葉ですが・・・」と同じ感じです。
たとえば、
With all due respect, I don’t think that’s a good idea.
（お言葉ですが、それは得策ではないと思います）
With all due respect, that’s not what you said yesterday.
（お言葉ですが、昨日おっしゃったことと違います）"
"ダイエットはうまくいっている？","How’s losing weight going?","健康・体調","今のこと・一時的なこと","英語では「diet」は「食生活」という意味ですが、「痩せる」は「lose weight」といいます。
たとえば
I wanna lose weight.
（痩せたい）
I lost 3 kilos.
（3キロ痩せた）
そして、「～はうまくいっている？」は「How’s ~ going?」といいます。
漠然に「it」を使って「How’s it going?（調子どう？）」もありますが、その「it」の代わりに他の名詞や動名詞（動詞のing）を置き換えることもできます。
たとえば
How’s work going?
（仕事はうまくいっている？）
How’s getting a job going?
（就職活動はうまくいっている？）
How’s quitting smoking going?
（禁煙はうまくいっている？）"
"今、食事制限をしている。","I’m on a diet.","レストラン・食べ物 / 健康・体調","今のこと・一時的なこと","英語の「diet」は「食生活」という意味で「痩せること」ではありません。
たとえば
I have a balanced diet.
（バランスのとれた食生活）
I have an unbalanced diet.
（偏った食生活）
I’m watching my diet.
（食生活に気をつけている）
なので、たとえば「ダイエットのためにジョギングしている」というような日本語は英語圏の人にはよく意味が分かりません。
しかし、「on a diet」なら「（痩せるための）食事制限をしている」という意味です。運動は含まれなくてやはり食生活のみの話ですが、「痩せるために」という意味が含まれます。「be on a diet」は「ダイエット中」で、「go on a diet」なら「ダイエットを始める」という意味です。
たとえば
I’m on a diet.
（ダイエット中）
I’m gonna go on a diet tomorrow!
（明日からダイエットを始める）"
"彼は優柔不断だ。","He’s so indecisive.","性格","形容詞","「優柔不断」は「indecisive」という形容詞を使います。
「decision（決断）」は名詞で、「decisive（決断力がある）」は形容詞です。そして、形容詞に「in」をつけると否定の意味になり、「indecisive」は文字通り「決断力がない」という意味です。
たとえば
Don’t be so indecisive!
（優柔不断はやめて）"
"脚がむくんでいる。","My legs are swollen.","健康・体調","今のこと・一時的なこと","「むくんでいる」、「はれている」は「swollen（スウォーレン）」という形容詞を使います。形容詞なので、be動詞を使います。単数のものなら「is」、複数のものなら「are」と使い分けます。
たとえば
My eyes are swollen.
（目がはれている）
My face is swollen.
（顔がむくんでいる）
My throat is swollen.
（喉がはれている）"
"可能性は無限大。","The sky’s the limit!","キメの一言 / 仕事 / 諺・おもしろ表現","","直訳は「空が制限だ」と非常に変な日本語ですが、「制限するものはない」という意味の決まり文句です。
空には天井がなくて、人間からしてみたらずっと永遠につづくイメージから生まれた表現ですね。
ビジネスシーンでもよく使われる英語です。"
"太った！","I gained weight.","健康・体調","過去のこと","「太る」は「gain weight」、又は「put on weight」といいます。たとえば「I gained weight over the new year holidays.（お正月休みの間、太った）」など。（実話です。）「何キロ太ったか」を言う場合は「weight」の代わりに「~ kilos」を置き換えます。たとえば「I gained 5 kilos.（5キロ太った）」など。「weight」は漠然の「重量」、「5 kilos」は具体的な「重量」です。どちらも「重量」表しているので、両方は絶対に使いません。「I gained my weight by 5 kilos.」はよく聞く日本語英語です。
「I spent money.（お金を使った）」「I spent $100.（$100を使った）」と同じ感覚です。「I spent money $100.」のように両方使うことはありません。"
"2013年があなたにとっていい1年になりますように。","Wishing you all the best for 2013!","遊び","","英語で「今年もよろしくお願いします。」とはいいませんが、今回のフレーズは定番の新年の挨拶です。「for」でも「in」でもどちらでもよく使います。また、応用として、「you」を「you and your family」に置き換えて「Wishing you and your family all the best for 2013.」や、「2013」を「the new year」に置き換えて「Wishing you all the best in the new year.」や、「Wishing」を省略して「All the best for 2013!」など。"
"しっかりしなさい。","Get a grip.","キメの一言 / 被害・トラブル","","「grip」は「握力」、「握る」というような意味です。
「Get a grip!」は「しっかりしなさい！」という意味の決まり文句です。
または、焦っている人に「冷静になりなさい」という使い方もあります。
自分が焦っているときも、自分に「Get a grip.」と独り言で言うことも多いです。
同じ意味で
「Get it together.」
「Pull yourself together.」という言い方もあります。"
"持ち寄りパーティーをしました。","We had a potluck party.","家の中 / 遊び","過去のこと","クリスマスは基本的には家族と過ごしますが、友達とクリスマスパーティーをする人も多いです。友達とするクリスマスパーティーは大体「potluck party（持ち寄りパーティー）」です。たとえば
「It’s potluck so please bring some food.（持ち寄りパーティーなので何か食べ物を持って来てください）」など。"
"おかげでいい1日になったよ。","It made my day.","キメの一言 / 遊び","過去のこと","嬉しい出来事やいい知らせがあったときによく使う言い方です。その出来事や知らせで一日中いい気分になったか、もしくはなりそうだという意味を表しています。更に強調したい場合は
「It made my week.（そのことが今週をいい1週間にしてくれた）」
「It made my year.（そのことが今年を１年にしてくれた）」など。
クリント・イーストウッドのダーティハリーの「Go ahead, make my day.」という名台詞があります。犯人が撃ってこなければ自分からは撃ち殺せない立場で、犯人が拳銃を抜こうとしてダーティハリーが言うのですが、「どうぞ、撃ってみろ。お前を撃ち殺せるチャンスをくれればいい一日になりそうだ」というような意味です。"
"それを誇りに思った方がいいよ。","You should be proud of yourself.","仕事","動名詞","「be proud of ~」は「～を誇りに思う」という意味です。つづくのは名詞か動名詞（動詞のing）です。
たとえば
I’m proud of you.
（君を誇りに思う）
I’m proud of getting into Todai.
（東大に受かったことを誇りに思っている）
I’m proud of my son getting into Todai.
（息子が東大に受かったことを誇りに思っている）
今回のフレーズも動名詞もつづけられますが、簡単に「yourself」で済ませることが多いです。"
"明日は会社の忘年会だ。","It’s the company end-of-year party tomorrow.","仕事 / 遊び","未来のこと","忘年会をむりやり「forget the year party」と訳しても通じません。会社の忘年会に1番近い西洋のイベントは「the company Christmas party」です。なので「忘年会」を「the company Christmas party」と言った方が西洋人の感覚に1番近いのですが、やっぱりちょっと違うイベントなので「the company end-of-year party」の方が正確な訳です。"
"私もそう。","Same here.","キメの一言","","このフレーズはシンプルながらも幅広く使えます。たとえば「I’m hungry.」、「I’m tired.」と言われて「Same here.（私も）」、又は「I think…」や「I don’t think…」など意見を言われたときも「Same here.（私もそう思う）」、又は「I wanna…」、「I don’t wanna…」と言われて「Same here.（私も）」など、いつでも使える簡単で便利な一言です。「here」は「私（こっち）」という意味で使われています。「Ditto.（同じく）」というシャレた言い方もあります。"
"雨が降らないことを期待していた。","I was hoping it wouldn’t rain.","天気","未来のこと","「～を期待していた」は「I was hoping + would文」という形を使います。「would」は元々「will」の過去形です。未来のことを過去に期待していたので、「will」の過去形の「would」を使いますが、難しいことを考えずにとりあえず「I was hoping + would文」という形で憶えるのが1番です。
たとえば
I was hoping he would come.
（彼が来ることを期待していた）
I was hoping you wouldn’t say that.
（君がそれを言わないことを期待していた）"
"客観的に見ましょう。","Let’s be objective.","仕事","形容詞","「objective（目標）」という名詞もありますが、形容詞の「objective（客観的）」もあります。反対に「subjective」は「主観的」という意味の形容詞です。形容詞なので簡単に「be」と一緒に使えばいいのです。「be objective」で「客観的に見る」、「客観的に考える」という意味になります。
たとえば
Try to be objective.
（客観的に考えるようにしてください）
That’s so subjective.
（それは主観的な問題）"
"いい席がとれた。","We got good seats.","遊び","過去のこと","動詞は簡単に「get」を使います。レストランの席だと「table」といいますが、コンサート、映画、舞台の席なら「seat(s)」といいます。
たとえば
We got a good table.
（いい席がとれた）
We got a table by the window.
（窓際席がとれた）
We didn’t get very good seats.
（あまりいい席がとれなかった）"
"（タクシーで）ここで降ろしてください。","Let me out here, thanks.","交通 / 旅行","","海外でタクシーに乗るなら、このフレーズは絶対に憶えておきたいです。車以外の乗り物（バス・電車・飛行機・船など）なら「get on（乗る）」と「get off（降りる）」を使いますが、車（タクシーを含む）は「get in（乗る）」と「get out（降りる）」になります。運転手に「～で降ろして」は「Let me out」といいます。
たとえば
Let me out at the lights.
（信号のところで降ろして）
Let me out at the station.
（駅で降ろして）
よく聞く間違いの「Get me off」はとんでもない別の意味なので気をつけましょう。"
"欲張らないで。","Don’t be greedy.","性格","形容詞","「greedy」は「欲張りな」という意味の形容詞です。たとえば「He’s greedy.（彼は欲張りだ）」など。形容詞なので「be」と一緒に使えばいいです。
たとえば
I don’t wanna be greedy.
（欲張りたくないけど）
It’s not good to be greedy.
（欲張りはよくないよ）
「greed（貪欲）」という名詞もありますが、たいてい「greedy」と形容詞を使います。"
"彼女は詐欺にあった。","She got conned.","被害・トラブル","受け身","「con（詐欺）」という名詞もありますが、「詐欺をする」、「人を騙す」も「con」を動詞として使います。
たとえば
He conned me.
（彼が私を騙した）
Quit conning me.
（言いくるめようとするのをやめて）
そして、受動態の「get conned」は「詐欺にあう」という英語です。
たとえば、
She got conned by someone pretending to be her son.
（息子のフリをしている人に騙された＝オレオレ詐欺にあった）"
"食感が嫌なんだよね。","I don’t like the texture.","レストラン・食べ物 / 五感","","味は嫌じゃないけど食感が嫌だという食べ物はありますね。その「食感」は英語では「texture（テキスチャ）」といいます。「food texture」とはいいません。
たとえば
It tastes OK, but I don’t like the texture.
（味はまあまあだけど食感は嫌だ）
It has an interesting texture.
（面白い食感だね）"
"他に何をしたの？","What else did you do?","遊び","過去のこと","「else」は「他に」という意味です。疑問詞（what / where / whoなど）につづけて使います。たとえば、
「Where else did you go?（他にどこに行ったの？）」
「Who else came?（他に誰が来たの？）」など。
または、「something / someone / somewhere」、「anything / anyone / anywhere」などにつけます。たとえば、
「Let’s talk about something else.（他のことを話そう）」
「No one else came.（他は誰も来なかった）」
「Let’s go somewhere else.（他のところに行こう）」など。"
"楽しいはずだよ。","It should be good.","遊び","形容詞","「should」といえば「～した方がいい」、「～すべきだ」ですが、「～のはずだ」という意味でも使います。たとえば
「I should be ready in an hour.（1時間後には準備ができているはず）」
「He should be here at 6.（彼は6時に来るはず）」など。
今回のフレーズの「should」と「good」は韻を踏んでいるのでゴロのいい言い方です。パーティーなどが「楽しいはずだ」、または公演などが「面白いはずだ」と幅広く使われる決まり文句です。人を誘うときに使ってみましょう。"
"それは心強いね。","That’s heartening.","","形容詞","「heartening」は「心強い」、「元気づけるような」という意味の形容詞です。「heart（心）」を使っているところは日本語と同じですね。そこまで使われない単語ですが、たまには難しい単語を憶えるのもいいですね。他にも
「I got some heartening news.（朗報があった）」など。"
"この電話に出なきゃいけない。","I need to take this.","電話・パソコン","to 不定詞","たとえば会議中だったり、電話に出るのが失礼な状況で、どうしても出なきゃいけないような電話がかかると、「I’m sorry, I need to take this.（ごめんなさい、大事な電話なので）」といいます。「I have to」でも「I’ve got to」でも「I need to」でも、どれを使ってもいいのですが、「take this」といいます。"
"植木に水をやった。","I watered the plants.","家の中","過去のこと","「水」という意味の「water（名詞）」ですが、「水をやる」という意味の動詞としても使います。お庭や植木などに水をやるのは「water the garden」、「water the plants」といいます。たとえば
「Did you water the garden?（庭に水をやった？）」
「Can you water the plants while I'm away?（私が留守の間、植木に水をやってくれる？）」など。"
"後まわしにしないで。","Don’t put it off.","仕事","動名詞","「延期する」、「後まわしにする」は「put ~ off」といいます。目的語が必要なので、漠然に言う時は「it」を間に入れます。ややこしいのですが、より長いものだと「put off ~」のあとにつづけます。たとえば
「Don’t put the game off.（試合を延期しないで）」
「Don’t put off calling him.（彼に電話するのを後まわしにしないでね）」など。
そして、
「Don’t put off till tomorrow what you can do today.（今日できることは明日に回すな）」という有名なことわざもあります。"
"彼が来ない予感がする。","I have a feeling he’s not gonna come.","遊び","未来のこと","「気がする」、「予感がする」は「I have a feeling +文」、または「I get the feeling +文」という言い方をします。どちらを使っても同じです。文がそのままつづくので、時制には注意しましょう。未来のことなら未来形、過去のことなら過去形、普段のことなら現在形、今のことなら進行形など。たとえば
「I have a feeling they broke up.（あの2人は別れた気がする）」
「I get the feeling he likes you.（彼は君のことが好きだという気がする）」
「I have a feeling he’s lying.（彼が嘘をついている気がする）」など。"
"人は見かけによらないものだ。","Don’t judge a book by its cover.","五感 / 性格 / 諺・おもしろ表現","","直訳は「本を表紙で判断するな」ですが、「人は見かけによらないものだ」という意味の有名な決まり文句です。たとえば、真面目そうに見えて不真面目の場合でも、不真面目そうに見えて実は真面目の場合でも、いい意味でも悪い意味でも使います。他にも「Looks can be deceiving.（外見に騙されることもある）」というフレーズも同じ意味で使います。"
"その会社はシンガポールに移転した。","They relocated to Singapore.","仕事","過去のこと","「家を引っ越す」は「move」を使った方がずっと自然なのですが、会社などの「移転」ならこの「relocate」という動詞を使います。たとえば
「I moved.（引っ越した）」
「I moved to Osaka.（大阪に引っ越した）」
「We’re thinking of relocating to Singapore.（シンガポールに移転することを考えている）」など。"
"Facebookで彼を友達リストから外した。","I defriended him on Facebook.","諺・おもしろ表現 / 電話・パソコン","過去のこと","これはSNSなどでよく使われる最近できた新しい英語です。「friend（友達）」は元々は名詞ですが、最近では「友達になる」という意味の動詞としても使われます。たとえば
「I friended him on Facebook.（Facebookで友達になった）」など。
逆に「友達リストから外す」、「友達解除する」は「defriend」、又は「unfriend」という動詞を使います。"
"それで怒ったんじゃないよ。","That’s not why I was angry.","被害・トラブル","WH名詞節","「That’s why +文」は「それが～の理由だ」、「だから～なのだ」という意味の文型です。たとえば
「That’s why I went.（だから行ったんだ）」
「That’s why I’m worried.（だから心配なんだ）」
「That’s why I was angry.（だから怒ったんだよ）」など。
そして、「That’s not why +文」は「それが理由じゃないよ」、「だから～なんじゃないよ」という意味の文型です。たとえば
「That’s not why we broke up.（それが別れた理由じゃないよ）」
「That’s not why I didn’t go.（だから行かなかったんじゃないよ）」など。"
"お茶しようか？","Do you wanna get a coffee?","遊び","","「お茶とコーヒーは違うじゃん！」と思う人もいるかもしれませんが、「お茶」と「お茶する」は違うことです。たとえば日本語でも「お茶しよう」と言ってコーヒーやオレンジジュースを頼んだり、アメリカでも「Let’s get a coffee.」と言ってお茶を注文したりもします。「お茶する」は「カフェでおしゃべりする」ことであって、必ずしもお茶を飲むわけではありません。アメリカン英語では「お茶する」ことを「get a coffee / have coffee / grab a coffee」といいます。イギリス英語では「have tea」ともいいます。たとえば
「I had coffee with Dave.（Daveとお茶した）」
「Do you wanna grab a coffee after work?（会社のあと、お茶しない？）」など。
「Do you wanna ~?（～しようか？）」は人を誘うときに最も使われる英語です。"
"食べ方が汚い。（食べ散らかす人）","I’m a messy eater.","レストラン・食べ物","形容詞","「messy」は「散らかっている」という意味の形容詞です。たとえば「My apartment is messy.（部屋が散らかっている）」など。「eater」は「食べる人」です。そして「a messy eater」は「食べ方が汚い人」、「食べ散らかす人」のことをいいます。この「形容詞 + ~er」という形の言い方はたくさんあります。たとえば
「I’m a good listener.（聞き上手）」
「He’s a good swimmer.（泳ぐのが上手）」
「You’re a bad liar.（嘘が下手）」
「I’m a fussy eater.（食べ物の好き嫌いが激しい）」など。"
"写真が苦手なんだ。","I’m camera shy.","性格 / 遊び","形容詞","「shy」は「内気」、「人見知りする」という意味の形容詞です。たとえば
「Don’t be shy.（人見知りしないで）」
「You don’t look shy.（シャイには見えないけど）」など。
その「shy」を「camera shy」にすると「写真を撮られることに関してはシャイ」、つまり「写真は苦手」という意味になります。「shy」と同じ形容詞なので使い方は同じです。たとえば
「Don’t be camera shy.（写真を撮られることを嫌がらないで）」など。"
"起きたことはしょうがない。","What happened happened.","キメの一言 / 被害・トラブル","WH名詞節","直訳は「起きたことは起きた」ですが、「起きたことは変えられない」、「起きたことはしょうがない」というニュアンスです。
文型は「It happened.（それは起きた）」と同じですが、主語の「It」がWH名詞節の「What happened（起きたことは）」になっています。
「happened」が２回つづいているのはゴロのいい言い方です。他にも似たような言い方があります。
たとえば
「I gotta do what I gotta do.（やらなきゃいけないことはやらなきゃいけない）」は「やるしかない！」という意味です。
「It is what it is.」は「泣いても笑ってもそういうことだから」という意味です。全部ゴロのいい言い方です。ぜひ憶えておきましょう。"
"心配する必要はない。","There’s no need to worry.","被害・トラブル","to 不定詞","「There’s no need.」で「その必要はない」という意味です。そして、「to 動詞」をつづけて応用できます。たとえば
「There’s no need to prepare.（準備する必要はない）」
「There’s no need to change anything.（何も変える必要はない）」
「There’s no need to book.（予約する必要はない）」
「There’s no need to back it up.（バックアップする必要はない）」など。"
"彼は私を避けている。（音信不通）","He’s ducking me.","キメの一言 / 電話・パソコン","今のこと・一時的なこと","「He’s avoiding me.（私を避けている）」、「He’s not answering my calls.（私の電話に出てくれない）」というフレーズも自然な英語ですが、この「duck（動詞）」を使った表現もよく使われます。「duck（ダック）」は「伏せる」という意味で、飛んでくるボールなどを伏せて当たらないようにするというような意味です。たとえば「Duck!（伏せろ！）」など。「電話にも出てくれない」、「連絡を返してくれない」、「私を避けている」、「音信不通」という意味で「He’s ducking me.」といいます。他にも
「Quit ducking me.（ちゃんと電話に出ろ、連絡を返せ）」もあります。"
"この辺で夜遊べるところはありますか？","Is there any good nightlife around here?","旅行 / 遊び","普段のこと・習慣","まず、「この辺で～はありますか？」は「Is there ~ around here?」といいます。旅先でめちゃくちゃ使います。たとえば
「Is there a station around here?（駅はありますか？）」
「Is there any good fishing around here?（この辺でいい釣りスポットはある？）」など。
そして、「nightlife」は「夜遊びする所」というような意味の名詞です。たとえば
「Tokyo has great nightlife.（東京は夜遊べるところがいっぱいある）」など。"
"最近眠れない。","I’ve been having trouble getting to sleep.","家の中","今のこと・一時的なこと","「have trouble ~ing」は「するのに苦労する」、「なかなかできない」という意味です。
「get to sleep」は「寝付く」という意味です。
普段のことなら現在形の「I have trouble getting to sleep.」、
今眠れないなら進行形の「I’m having trouble getting to sleep.」、
過去のことなら「I had trouble getting to sleep.」など。
そして、「I’ve been ~ing」は「最近よくすること、「最近ずっと」を表す時制です。なので、
「I’ve been having trouble getting to sleep.」は「最近眠るのに苦労している」という意味になります。"
"私はストレスが溜まりにくい。","I don’t get stressed easily.","仕事 / 健康・体調 / 性格","形容詞","「I get 形容詞 easily.」は「～になりやすい」という意味です。たとえば
「I get sick easily.（体が弱い）」
「I get lost easily.（方向音痴）」
「I get stressed easily.（ストレスが溜まりやすい）」など。
否定文の「I don’t get 形容詞 easily.」なら「～なりにくい」という意味になります。たとえば
「I don’t get drunk easily.（お酒が強い）」
「I don’t get angry easily.（めったに怒らない）」
「I don’t get stressed easily.（ストレスが溜まりにくい）」など。"
"誰がそう言ったの？","Who said that?","","WH名詞節","疑問詞（what / whoなど）が主語の場合、質問ではあるけれど疑問文の形をとらないのです。質問なのに、肯定文の形です。こういう質問の方が珍しいので難しく感じる人も多いが、実はこっちの方が簡単です。たとえば「He said that.（彼がそう言った）」、「Who said that?（誰がそう言った？）」のように「He」の代わりに「Who」を置き換えるだけです。
同じように「He’s going to come.（彼が来る）」、「Who’s going to come?（誰が来るの？）」など。
しかも、元々疑問文の形をとってないのでそのまま、何も変えずに、WH名詞節にもなります。たとえば
「I don’t know who said that.（誰がそう言ったのか分からない）」
「It depends on who’s going to come.（誰が来るかによる）」など。"
